device_id,user_id,linked_date
DVC-AB-0000,4063,2025-01-19
DVC-AB-0001,9344,2025-01-26
DVC-AB-0002,1729,2025-03-14
DVC-AB-0003,1472,2025-03-17
DVC-AB-0004,2570,2025-02-13
DVC-AB-0005,171,2025-01-19
DVC-AB-0006,5858,2025-02-14
DVC-AB-0007,2537,2025-01-02
DVC-AB-0008,2775,2025-03-23
DVC-AB-0009,2628,2025-02-19
DVC-AB-0010,663,2025-01-13
DVC-AB-0011,6547,2025-04-29
DVC-AB-0012,3045,2025-01-08
DVC-AB-0013,9935,2025-05-31
DVC-AB-0014,542,2025-03-24
DVC-AB-0015,9054,2025-02-18
DVC-AB-0016,683,2025-01-22
DVC-AB-0017,6581,2025-01-29
DVC-AB-0018,5971,2025-01-29
DVC-AB-0019,8279,2025-05-11
DVC-AB-0020,2599,2025-02-21
DVC-AB-0021,4672,2025-01-30
DVC-AB-0022,1577,2025-04-09
DVC-AB-0023,5413,2025-02-04
DVC-AB-0024,8520,2025-01-08
DVC-AB-0025,6029,2025-06-29
DVC-AB-0026,7339,2025-01-15
DVC-AB-0027,2681,2025-01-25
DVC-AB-0028,3430,2025-01-22
DVC-AB-0029,173,2025-02-03
DVC-AB-0030,6664,2025-01-15
DVC-AB-0031,6825,2025-01-25
DVC-AB-0032,762,2025-02-15
DVC-AB-0033,4024,2025-04-28
DVC-AB-0034,9035,2025-06-29
DVC-AB-0035,1319,2025-01-21
DVC-AB-0036,628,2025-02-25
DVC-AB-0037,939,2025-01-19
DVC-AB-0038,925,2025-01-22
DVC-AB-0039,2886,2025-01-23
DVC-AB-0040,8637,2025-01-02
DVC-AB-0041,841,2025-01-09
DVC-AB-0042,3878,2025-01-02
DVC-AB-0043,9036,2025-02-16
DVC-AB-0044,4705,2025-02-15
DVC-AB-0045,1680,2025-01-01
DVC-AB-0046,3284,2025-03-11
DVC-AB-0047,125,2025-01-05
DVC-AB-0048,5469,2025-03-14
DVC-AB-0049,4005,2025-03-17
DVC-AB-0000,2520,2025-03-16
DVC-AB-0001,3323,2025-04-22
DVC-AB-0002,6278,2025-06-12
DVC-AB-0003,5065,2025-02-24
DVC-AB-0004,5387,2025-03-28
DVC-AB-0005,2852,2025-02-01
DVC-AB-0006,9263,2025-02-06
