session_id,user_id,login_date,session_duration_min
1,1,2025-05-29,17
2,1,2025-05-27,20
3,1,2025-05-25,17
4,1,2025-05-31,42
5,1,2025-05-26,22
6,2,2025-05-21,21
7,2,2025-05-24,34
8,2,2025-06-01,17
9,2,2025-05-31,61
10,2,2025-05-28,17
11,2,2025-05-29,31
12,2,2025-06-05,70
13,2,2025-06-09,61
14,2,2025-06-22,74
15,2,2025-06-20,29
16,3,2025-05-27,15
17,3,2025-05-28,13
18,3,2025-05-29,12
19,3,2025-05-26,15
20,3,2025-05-30,49
21,3,2025-06-12,30
22,3,2025-06-20,24
23,3,2025-06-17,12
24,4,2025-01-22,33
25,4,2025-01-17,19
26,4,2025-01-27,12
27,4,2025-01-25,11
28,4,2025-02-05,62
29,4,2025-01-31,6
30,4,2025-02-25,19
31,4,2025-02-26,16
32,4,2025-02-23,59
33,4,2025-02-27,19
34,4,2025-04-12,25
35,4,2025-04-14,48
36,4,2025-04-11,20
37,4,2025-06-11,22
38,4,2025-06-09,36
39,5,2025-01-10,16
40,5,2025-01-15,17
41,5,2025-01-14,14
42,5,2025-01-19,15
43,5,2025-01-18,8
44,5,2025-03-12,54
45,5,2025-03-10,25
46,5,2025-03-11,23
47,5,2025-03-13,23
48,6,2025-04-03,12
49,6,2025-03-30,11
50,6,2025-04-01,20
51,6,2025-04-02,26
52,6,2025-04-05,33
53,7,2025-03-30,80
54,7,2025-03-28,14
55,7,2025-04-15,72
56,7,2025-04-11,31
57,7,2025-04-10,18
58,8,2025-06-30,37
59,9,2025-01-06,55
60,9,2025-01-07,21
61,9,2025-01-17,23
62,9,2025-01-12,66
63,9,2025-01-15,23
64,9,2025-01-14,23
65,9,2025-02-12,97
66,9,2025-02-09,37
67,9,2025-02-10,16
68,9,2025-02-21,12
69,10,2025-03-08,13
70,10,2025-03-11,15
71,10,2025-03-15,53
72,10,2025-03-14,33
73,10,2025-03-20,29
74,10,2025-03-24,20
75,10,2025-03-22,28
76,10,2025-04-01,22
77,10,2025-04-03,38
78,10,2025-04-26,20
