event_id,user_id,event_type,event_time
1,1,가입,2025-05-25 00:00:00
2,2,가입,2025-05-21 00:00:00
3,2,첫결제,2025-06-02 23:47:00
4,3,가입,2025-05-24 00:00:00
5,3,튜토리얼완료,2025-05-24 19:00:00
6,4,가입,2025-01-17 00:00:00
7,4,튜토리얼완료,2025-01-20 06:00:00
8,4,첫결제,2025-01-30 20:57:00
9,5,가입,2025-01-06 00:00:00
10,5,튜토리얼완료,2025-01-07 06:00:00
11,5,첫결제,2025-01-06 02:09:00
12,6,가입,2025-03-29 00:00:00
13,6,튜토리얼완료,2025-03-31 16:00:00
14,7,가입,2025-03-26 00:00:00
15,7,튜토리얼완료,2025-03-29 02:00:00
16,8,가입,2025-06-29 00:00:00
17,8,튜토리얼완료,2025-06-30 00:00:00
18,9,가입,2025-01-05 00:00:00
19,9,튜토리얼완료,2025-01-08 15:00:00
20,10,가입,2025-03-04 00:00:00
21,10,튜토리얼완료,2025-03-07 22:00:00
22,10,첫결제,2025-03-20 20:53:00
23,11,가입,2025-01-05 00:00:00
24,11,튜토리얼완료,2025-01-05 01:00:00
25,12,가입,2025-03-07 00:00:00
26,12,튜토리얼완료,2025-03-10 14:00:00
27,13,가입,2025-04-14 00:00:00
28,13,튜토리얼완료,2025-04-16 05:00:00
29,14,가입,2025-01-24 00:00:00
30,15,가입,2025-03-15 00:00:00
31,15,튜토리얼완료,2025-03-17 06:00:00
32,16,가입,2025-01-10 00:00:00
33,17,가입,2025-01-06 00:00:00
34,17,튜토리얼완료,2025-01-09 11:00:00
35,17,첫결제,2025-01-15 11:40:00
36,18,가입,2025-01-19 00:00:00
37,19,가입,2025-02-24 00:00:00
38,19,튜토리얼완료,2025-02-27 10:00:00
39,20,가입,2025-01-25 00:00:00
40,20,튜토리얼완료,2025-01-26 03:00:00
41,21,가입,2025-03-16 00:00:00
42,21,튜토리얼완료,2025-03-18 07:00:00
43,21,첫결제,2025-05-15 17:06:00
44,22,가입,2025-01-14 00:00:00
45,22,튜토리얼완료,2025-01-14 20:00:00
46,22,첫결제,2025-01-27 12:10:00
47,23,가입,2025-04-21 00:00:00
48,23,튜토리얼완료,2025-04-22 19:00:00
49,24,가입,2025-03-15 00:00:00
50,24,튜토리얼완료,2025-03-17 15:00:00
51,25,가입,2025-02-09 00:00:00
52,25,튜토리얼완료,2025-02-10 09:00:00
53,25,첫결제,2025-02-13 19:24:00
54,26,가입,2025-01-26 00:00:00
55,26,튜토리얼완료,2025-01-26 18:00:00
56,26,첫결제,2025-01-26 14:26:00
57,27,가입,2025-01-28 00:00:00
58,27,튜토리얼완료,2025-01-29 08:00:00
59,27,첫결제,2025-02-01 15:46:00
60,28,가입,2025-01-05 00:00:00
61,28,튜토리얼완료,2025-01-08 05:00:00
62,28,첫결제,2025-01-07 19:46:00
63,29,가입,2025-01-11 00:00:00
64,29,튜토리얼완료,2025-01-14 10:00:00
65,30,가입,2025-02-11 00:00:00
66,31,가입,2025-01-24 00:00:00
67,31,첫결제,2025-01-30 19:04:00
68,32,가입,2025-03-17 00:00:00
69,32,튜토리얼완료,2025-03-20 09:00:00
70,33,가입,2025-02-12 00:00:00
71,34,가입,2025-01-15 00:00:00
72,34,첫결제,2025-01-24 16:50:00
73,35,가입,2025-01-28 00:00:00
74,35,튜토리얼완료,2025-01-29 06:00:00
75,35,첫결제,2025-02-13 19:32:00
76,36,가입,2025-02-08 00:00:00
