user_id,signup_date,country,platform
1,2025-05-25,TH,iOS
2,2025-05-21,KR,PC
3,2025-05-24,JP,PC
4,2025-01-17,KR,Android
5,2025-01-06,US,PC
6,2025-03-29,KR,iOS
7,2025-03-26,JP,iOS
8,2025-06-29,KR,PC
9,2025-01-05,KR,Android
10,2025-03-04,US,iOS
11,2025-01-05,JP,iOS
12,2025-03-07,KR,iOS
13,2025-04-14,US,iOS
14,2025-01-24,KR,iOS
15,2025-03-15,US,PC
16,2025-01-10,US,iOS
17,2025-01-06,JP,PC
18,2025-01-19,JP,iOS
19,2025-02-24,KR,iOS
20,2025-01-25,KR,PC
21,2025-03-16,US,iOS
22,2025-01-14,KR,iOS
23,2025-04-21,KR,PC
24,2025-03-15,JP,iOS
25,2025-02-09,KR,iOS
26,2025-01-26,KR,PC
27,2025-01-28,TH,Android
28,2025-01-05,KR,Android
29,2025-01-11,KR,iOS
30,2025-02-11,KR,iOS
31,2025-01-24,KR,Android
32,2025-03-17,JP,Android
33,2025-02-12,JP,iOS
34,2025-01-15,US,PC
35,2025-01-28,KR,Android
36,2025-02-08,KR,Android
37,2025-01-21,KR,Android
38,2025-01-20,US,Android
39,2025-02-22,US,Android
40,2025-01-18,KR,iOS
41,2025-03-22,JP,PC
42,2025-03-25,JP,Android
43,2025-03-07,KR,PC
44,2025-01-05,US,PC
45,2025-03-10,US,iOS
46,2025-03-23,KR,Android
47,2025-03-09,KR,Android
48,2025-01-17,US,Android
49,2025-01-20,TW,PC
50,2025-01-10,US,iOS
51,2025-01-22,US,Android
52,2025-01-02,US,PC
53,2025-01-11,KR,PC
54,2025-03-20,KR,iOS
55,2025-06-29,KR,PC
56,2025-02-03,TW,iOS
57,2025-01-18,JP,Android
58,2025-01-24,TW,iOS
59,2025-01-22,KR,Android
60,2025-01-08,KR,iOS
61,2025-03-06,US,iOS
62,2025-03-24,KR,iOS
63,2025-04-01,KR,PC
64,2025-06-29,JP,Android
65,2025-05-07,US,Android
66,2025-04-09,US,Android
67,2025-03-04,KR,Android
68,2025-02-05,KR,iOS
69,2025-01-03,KR,iOS
70,2025-02-27,KR,Android
71,2025-02-07,KR,PC
72,2025-04-01,KR,iOS
73,2025-05-02,TH,Android
74,2025-01-20,KR,PC
75,2025-01-03,KR,PC
76,2025-02-25,KR,iOS
77,2025-06-03,JP,PC
78,2025-02-19,KR,Android
79,2025-05-08,KR,Android
80,2025-02-15,KR,Android
81,2025-03-20,KR,iOS
82,2025-01-18,US,PC
83,2025-01-09,KR,Android
84,2025-01-09,KR,Android
85,2025-01-08,JP,PC
86,2025-01-04,KR,Android
87,2025-04-13,US,iOS
88,2025-01-27,KR,iOS
89,2025-01-24,US,PC
90,2025-02-26,KR,Android
91,2025-01-12,KR,PC
92,2025-04-26,KR,Android
93,2025-03-19,TH,Android
94,2025-01-20,KR,PC
95,2025-01-13,TW,Android
96,2025-02-01,TW,Android
97,2025-01-19,KR,iOS
98,2025-01-05,KR,PC
99,2025-01-31,KR,Android
100,2025-05-16,TH,Android
101,2025-03-02,US,Android
102,2025-06-29,KR,iOS
103,2025-05-03,KR,Android
104,2025-03-09,JP,iOS
105,2025-04-22,KR,iOS
106,2025-02-13,KR,PC
107,2025-03-06,KR,Android
108,2025-01-23,KR,PC
109,2025-01-14,TW,Android
110,2025-05-09,JP,iOS
111,2025-01-09,KR,Android
112,2025-01-12,KR,iOS
113,2025-01-19,JP,Android
114,2025-02-28,KR,PC
115,2025-01-25,KR,Android
116,2025-02-11,KR,Android
117,2025-05-10,US,PC
118,2025-04-03,TH,Android
119,2025-03-12,US,Android
120,2025-01-11,KR,Android
121,2025-03-13,JP,Android
122,2025-01-28,KR,iOS
123,2025-01-08,TW,Android
124,2025-01-24,KR,Android
125,2025-01-05,KR,iOS
126,2025-02-24,KR,PC
127,2025-02-28,KR,iOS
128,2025-01-18,KR,Android
129,2025-01-03,US,PC
130,2025-06-13,JP,iOS
131,2025-02-18,JP,PC
132,2025-03-31,KR,PC
133,2025-01-22,KR,Android
134,2025-04-11,KR,PC
135,2025-04-09,KR,Android
136,2025-01-06,KR,Android
137,2025-06-29,TW,Android
138,2025-02-10,TH,Android
